Tarifname;PLZ;Fixkosten;VariableKosten
Bio-Strom Flex;86742;185,64;0,2336
Bio-Strom Flex;86745;185,64;0,2336
Bio-Strom Flex;86747;185,64;0,2336
Bio-Strom Flex;86748;185,64;0,2336
Bio-Strom Flex;86750;185,64;0,2336
Bio-Strom Flex;86751;185,64;0,2336
Bio-Strom Flex;86753;185,64;0,2336
Bio-Strom Flex;86754;185,64;0,2336
Bio-Strom Flex;86756;185,64;0,2336
Bio-Strom Flex;86757;185,64;0,2336
Bio-Strom Flex;86759;185,64;0,2336
Bio-Strom Flex;89129;185,64;0,2336
Bio-Strom Flex;89129;185,64;0,2336
Bio-Strom Flex;89129;185,64;0,2336
Bio-Strom Flex;89129;185,64;0,2336
Bio-Strom Flex;89168;185,64;0,2336
Bio-Strom Flex;89173;185,64;0,2336
Bio-Strom Flex;89174;185,64;0,2336
Bio-Strom Flex;89176;185,64;0,2336
Bio-Strom Flex;89177;185,64;0,2336
Bio-Strom Flex;89177;185,64;0,2336
Bio-Strom Flex;89182;185,64;0,2336
Bio-Strom Flex;89183;185,64;0,2336
Bio-Strom Flex;89183;185,64;0,2336
Bio-Strom Flex;89189;185,64;0,2336
Bio-Strom Flex;89192;185,64;0,2336
Bio-Strom Flex;89197;185,64;0,2336
Bio-Strom Flex;89312;185,64;0,2336
Bio-Strom Flex;89340;185,64;0,2336
Bio-Strom Flex;89362;185,64;0,2336
Bio-Strom Flex;89415;185,64;0,2336
Bio-Strom Flex;89423;185,64;0,2336
Bio-Strom Flex;89426;185,64;0,2336
Bio-Strom Flex;89426;185,64;0,2336
Bio-Strom Flex;89428;185,64;0,2336
Bio-Strom Flex;89429;185,64;0,2336
Bio-Strom Flex;89431;185,64;0,2336
Bio-Strom Flex;89437;185,64;0,2336
Bio-Strom Flex;89446;185,64;0,2336
Bio-Strom Flex;89447;185,64;0,2336
Bio-Strom Flex;89518;185,64;0,2336
Bio-Strom Flex;89520;185,64;0,2336
Bio-Strom Flex;89522;185,64;0,2336
Bio-Strom Flex;89524;185,64;0,2336
Bio-Strom Flex;89537;185,64;0,2336
Bio-Strom Flex;89542;185,64;0,2336
Bio-Strom Flex;89547;185,64;0,2336
Bio-Strom Flex;89551;185,64;0,2336
Bio-Strom Flex;89555;185,64;0,2336
Bio-Strom Flex;89561;185,64;0,2336
Bio-Strom Flex;89564;185,64;0,2336
Bio-Strom Flex;89567;185,64;0,2336
Bio-Strom Flex;89568;185,64;0,2336
Bio-Strom Flex Plus;73430;215,78;0,1874
Bio-Strom Flex Plus;73431;215,78;0,1874
Bio-Strom Flex Plus;73432;215,78;0,1874
Bio-Strom Flex Plus;73433;215,78;0,1874
Bio-Strom Flex Plus;73434;215,78;0,1874
Bio-Strom Flex Plus;73441;215,78;0,1874
Bio-Strom Flex Plus;73447;215,78;0,1874
Bio-Strom Flex Plus;73450;215,78;0,1874
Bio-Strom Flex Plus;73453;215,78;0,1874
Bio-Strom Flex Plus;73457;215,78;0,1874
Bio-Strom Flex Plus;73460;215,78;0,1874
Bio-Strom Flex Plus;73463;215,78;0,1874
Bio-Strom Flex Plus;73466;215,78;0,1874
Bio-Strom Flex Plus;73467;215,78;0,1874
Bio-Strom Flex Plus;73469;215,78;0,1874
Bio-Strom Flex Plus;73479;215,78;0,1874
Bio-Strom Flex Plus;73485;215,78;0,1874
Bio-Strom Flex Plus;73486;215,78;0,1874
Bio-Strom Flex Plus;73488;215,78;0,1874
Bio-Strom Flex Plus;73489;215,78;0,1874
Bio-Strom Flex Plus;73491;215,78;0,1874
Bio-Strom Flex Plus;73492;215,78;0,1874
Bio-Strom Flex Plus;73494;215,78;0,1874
Bio-Strom Flex Plus;73495;215,78;0,1874
Bio-Strom Flex Plus;73497;215,78;0,1874
Bio-Strom Flex Plus;73499;215,78;0,1874
Bio-Strom Flex Plus;73525;215,78;0,1874
Bio-Strom Flex Plus;73527;215,78;0,1874
Bio-Strom Flex Plus;73527;215,78;0,1874
Bio-Strom Flex Plus;73529;215,78;0,1874
Bio-Strom Flex Plus;73540;215,78;0,1874
Bio-Strom Flex Plus;73550;215,78;0,1874
Bio-Strom Flex Plus;73553;215,78;0,1874
Bio-Strom Flex Plus;73557;215,78;0,1874
Bio-Strom Flex Plus;73560;215,78;0,1874
Bio-Strom Flex Plus;73563;215,78;0,1874
Bio-Strom Flex Plus;73565;215,78;0,1874
Bio-Strom Flex Plus;73566;215,78;0,1874
Bio-Strom Flex Plus;73568;215,78;0,1874
Bio-Strom Flex Plus;73569;215,78;0,1874
Bio-Strom Flex Plus;73569;215,78;0,1874
Bio-Strom Flex Plus;73571;215,78;0,1874
Bio-Strom Flex Plus;73572;215,78;0,1874
Bio-Strom Flex Plus;73574;215,78;0,1874
Bio-Strom Flex Plus;73575;215,78;0,1874
Bio-Strom Flex Plus;73577;215,78;0,1874
Bio-Strom Flex Plus;73579;215,78;0,1874
Bio-Strom Flex Plus;73642;215,78;0,1874
Bio-Strom Flex Plus;73655;215,78;0,1874
Bio-Strom Flex Plus;73667;215,78;0,1874
Bio-Strom Flex Plus;74417;215,78;0,1874
Bio-Strom Flex Plus;74426;215,78;0,1874
Bio-Strom Flex Plus;74429;215,78;0,1874
Bio-Strom Flex Plus;74564;215,78;0,1874
Bio-Strom Flex Plus;74572;215,78;0,1874
Bio-Strom Flex Plus;74575;215,78;0,1874
Bio-Strom Flex Plus;74579;215,78;0,1874
Bio-Strom Flex Plus;74585;215,78;0,1874
Bio-Strom Flex Plus;74586;215,78;0,1874
Bio-Strom Flex Plus;74589;215,78;0,1874
Bio-Strom Flex Plus;74592;215,78;0,1874
Bio-Strom Flex Plus;74594;215,78;0,1874
Bio-Strom Flex Plus;74597;215,78;0,1874
Bio-Strom Flex Plus;74599;215,78;0,1874
Bio-Strom Flex Plus;86609;215,78;0,1874
Bio-Strom Flex Plus;86650;215,78;0,1874
Bio-Strom Flex Plus;86655;215,78;0,1874
Bio-Strom Flex Plus;86720;215,78;0,1874
Bio-Strom Flex Plus;86733;215,78;0,1874
Bio-Strom Flex Plus;86735;215,78;0,1874
Bio-Strom Flex Plus;86735;215,78;0,1874
Bio-Strom Flex Plus;86736;215,78;0,1874
Bio-Strom Flex Plus;86738;215,78;0,1874
Bio-Strom Flex Plus;86739;215,78;0,1874
Bio-Strom Flex Plus;86741;215,78;0,1874
Bio-Strom Flex Plus;86742;215,78;0,1874
Bio-Strom Flex Plus;86745;215,78;0,1874
Bio-Strom Flex Plus;86747;215,78;0,1874
Bio-Strom Flex Plus;86748;215,78;0,1874
Bio-Strom Flex Plus;86750;215,78;0,1874
Bio-Strom Flex Plus;86751;215,78;0,1874
Bio-Strom Flex Plus;86753;215,78;0,1874
Bio-Strom Flex Plus;86754;215,78;0,1874
Bio-Strom Flex Plus;86756;215,78;0,1874
Bio-Strom Flex Plus;86757;215,78;0,1874
Bio-Strom Flex Plus;86759;215,78;0,1874
Bio-Strom Flex Plus;89129;215,78;0,1874
Bio-Strom Flex Plus;89129;215,78;0,1874
Bio-Strom Flex Plus;89129;215,78;0,1874
Bio-Strom Flex Plus;89129;215,78;0,1874
Bio-Strom Flex Plus;89168;215,78;0,1874
Bio-Strom Flex Plus;89173;215,78;0,1874
Bio-Strom Flex Plus;89174;215,78;0,1874
Bio-Strom Flex Plus;89176;215,78;0,1874
Bio-Strom Flex Plus;89177;215,78;0,1874
Bio-Strom Flex Plus;89177;215,78;0,1874
Bio-Strom Flex Plus;89182;215,78;0,1874
Bio-Strom Flex Plus;89183;215,78;0,1874
Bio-Strom Flex Plus;89183;215,78;0,1874
Bio-Strom Flex Plus;89189;215,78;0,1874
Bio-Strom Flex Plus;89192;215,78;0,1874
Bio-Strom Flex Plus;89197;215,78;0,1874
Bio-Strom Flex Plus;89312;215,78;0,1874
Bio-Strom Flex Plus;89340;215,78;0,1874
Bio-Strom Flex Plus;89362;215,78;0,1874
Bio-Strom Flex Plus;89415;215,78;0,1874
Bio-Strom Flex Plus;89423;215,78;0,1874
Bio-Strom Flex Plus;89426;215,78;0,1874
Bio-Strom Flex Plus;89426;215,78;0,1874
Bio-Strom Flex Plus;89428;215,78;0,1874
Bio-Strom Flex Plus;89429;215,78;0,1874
Bio-Strom Flex Plus;89431;215,78;0,1874
Bio-Strom Flex Plus;89437;215,78;0,1874
Bio-Strom Flex Plus;89446;215,78;0,1874
Bio-Strom Flex Plus;89447;215,78;0,1874
Bio-Strom Flex Plus;89518;215,78;0,1874
Bio-Strom Flex Plus;89520;215,78;0,1874
Bio-Strom Flex Plus;89522;215,78;0,1874
Bio-Strom Flex Plus;89524;215,78;0,1874
Bio-Strom Flex Plus;89537;215,78;0,1874
Bio-Strom Flex Plus;89542;215,78;0,1874
Bio-Strom Flex Plus;89547;215,78;0,1874
Bio-Strom Flex Plus;89551;215,78;0,1874
Bio-Strom Flex Plus;89555;215,78;0,1874
Bio-Strom Flex Plus;89561;215,78;0,1874
Bio-Strom Flex Plus;89564;215,78;0,1874
Bio-Strom Flex Plus;89567;215,78;0,1874
Bio-Strom Flex Plus;89568;215,78;0,1874
